Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
4,Hunter Harvey,BAL,RHP,65,55,45,,50,60,2.4,
5,Jonathan Schoop,BAL,2B,50,45,40,60,50,50,10.9,16
6,Josh Hart,BAL,OF,50,30,60,45,60,50,0,
7,Mike Wright Jr,BAL,RHP,60,40,50,50,55,50,-0.2,
8,Tim Berry,BAL,LHP,55,50,50,,50,50,0,
9,Mike Ohlman,BAL,C,45,50,30,50,45,45,-0.1,
10,Chance Sisco,BAL,C,50,45,30,50,50,50,-0.8,
11,Adrian Marin,BAL,SS,45,30,55,50,50,45,0,
12,Stephen Tarpley,BAL,LHP,60,50,45,50,50,45,-0.2,
13,Francisco Peguero,BAL,OF,50,40,55,60,50,45,0.1,
14,Zach Davies,BAL,RHP,50,50,60,40,55,45,9.2,15
15,Christian Walker,BAL,OF,50,50,20,40,45,50,12.4,8
16,Branden Kline,BAL,RHP,55,,40,50,45,45,0,
17,Parker Bridwell,BAL,RHP,55,50,50,,40,45,0.4,
18,Michael Almanzar,BAL,3B,40,50,30,50,45,45,0,
19,Mike Belfiore,BAL,LHP,50,,40,50,45,45,-0.1,
20,Ofelky Peralta,BAL,RHP,65,40,40,40,45,45,0,
10,Anthony Ranaudo,BOS,RHP,60,60,45,,50,55,-1.5,
11,Manuel Margot,BOS,OF,55,40,65,50,60,50,9.2,11
12,Christian Vazquez,BOS,C,45,40,20,60,50,50,12.2,9
13,Rafael Devers,BOS,3B,50,60,40,50,45,50,10.7,33
14,Brian Johnson,BOS,LHP,55,55,50,,50,50,0.5,
15,Deven Marrero,BOS,SS,45,40,55,60,60,50,-1.5,
16,Wendell Rijo,BOS,2B,55,40,50,45,55,45,0,
17,Bryce Brentz,BOS,OF,40,55,40,60,45,45,0,
18,Cody Kukuk,BOS,LHP,65,,45,55,40,45,0,
19,Teddy Stankiewicz,BOS,RHP,60,,45,55,55,45,0,
20,Jamie Callahan,BOS,RHP,60,50,40,50,55,45,0.2,
8,Arodys Vizcaino,CHC,RHP,70,65,45,,55,50,1.8,9
9,Jeimer Candelario,CHC,3B,55,50,30,55,45,50,11.5,12
10,Daniel Vogelbach,CHC,1B,55,60,20,40,30,50,2.1,1.5
11,Christian Villanueva,CHC,3B,40,50,40,60,60,45,1.9,
12,Eloy Jimenez,CHC,OF,55,60,50,60,50,50,5.4,35
13,Neil Ramirez,CHC,RHP ,60,50,55,50,40,45,-0.3,
14,Mike Olt,CHC,3B,40,55,30,60,55,45,-1.6,
15,Paul Blackburn,CHC,RHP,55,55,50,,45,45,3.3,1
16,Kyle Hendricks,CHC,RHP,45,45,55,,65,45,20.9,22
17,Corey Black,CHC,RHP,65,50,45,55,45,45,0,
18,Jacob Hannemann,CHC,OF,45,45,65,30,50,45,-0.2,
19,Tyler Skulina,CHC,RHP,60,45,40,55,45,45,0,
20,Gleyber Torres,CHC,INF,50,45,50,60,50,45,13.8,13
3,Tim Anderson,CWS,SS,55,40,70,55,55,55,17.2,23
4,Marcus Semien,CWS,SS,55,45,50,50,50,50,15.4,21
5,Micah Johnson,CWS,2B,55,35,80,50,50,50,-0.4,
6,Tyler Danish,CWS,RHP,65,,55,50,50,50,-0.7,
7,Courtney Hawkins,CWS,OF,45,60,60,60,55,50,0,
8,Trayce Thompson,CWS,OF,40,50,50,50,55,45,3,1
9,Jacob May,CWS,OF,50,40,75,40,55,45,-0.6,
